year,urban_per_capita_residential_floor_space_sqm,rural_per_capita_residential_floor_space_sqm,source,note
1978,6.7,8.1,https://www.stats.gov.cn/sj/ndsj/2008/html/J0935e.htm,"residential building floor space; not the older 'net living space' measure"
1980,7.2,9.4,https://www.stats.gov.cn/sj/ndsj/2008/html/J0935e.htm,"residential building floor space"
1985,10.0,14.7,https://www.stats.gov.cn/sj/ndsj/2008/html/J0935e.htm,"residential building floor space"
1990,13.7,17.8,https://www.stats.gov.cn/sj/ndsj/2008/html/J0935e.htm,"residential building floor space"
1995,16.3,21.0,https://www.stats.gov.cn/sj/ndsj/2008/html/J0935e.htm,"residential building floor space"
2000,20.3,24.8,https://www.stats.gov.cn/sj/ndsj/2008/html/J0935e.htm,"residential building floor space"
2005,26.1,29.7,https://www.stats.gov.cn/sj/ndsj/2008/html/J0935e.htm,"residential building floor space"
