year,rural_urban_migrant_workers_million,source,note
1990,21.6,https://documents1.worldbank.org/curated/en/099020325194013546/pdf/P180848-980daabd-c4df-4314-a796-5df3bf5c97c5.pdf,"World Bank calculation based on decennial census; workers with rural hukou away from village/town for work >6 months"
2000,78.8,https://documents1.worldbank.org/curated/en/099020325194013546/pdf/P180848-980daabd-c4df-4314-a796-5df3bf5c97c5.pdf,"World Bank calculation based on decennial census"
2008,140.4,https://documents1.worldbank.org/curated/en/099020325194013546/pdf/P180848-980daabd-c4df-4314-a796-5df3bf5c97c5.pdf,"National Monitoring Survey Report for Rural Migrant Workers basis"
2019,174.3,https://documents1.worldbank.org/curated/en/099020325194013546/pdf/P180848-980daabd-c4df-4314-a796-5df3bf5c97c5.pdf,"National Monitoring Survey Report basis"
2022,171.9,https://documents1.worldbank.org/curated/en/099020325194013546/pdf/P180848-980daabd-c4df-4314-a796-5df3bf5c97c5.pdf,"National Monitoring Survey Report basis"
