year,railway_passenger_trips_100_million,change_percent,source
2019,36.6,8.4,https://www.stats.gov.cn/english/PressRelease/202002/t20200228_1728917.html
2020,22.0,-39.8,https://www.stats.gov.cn/english/PressRelease/202102/t20210228_1814177.html
2021,26.1,18.5,https://www.stats.gov.cn/english/PressRelease/202202/t20220227_1827963.html
2022,16.7,-35.9,https://www.stats.gov.cn/english/PressRelease/202302/t20230227_1918979.html
2023,38.5,130.4,https://www.stats.gov.cn/english/PressRelease/202402/t20240228_1947918.html
