survey_period,residence,population,provides_grandchild_care_percent,unit,scope,source_url,note
2011-2012,rural,grandparents with grandchildren under age 16 in analytic sample,42.69,percent,China,https://pmc.ncbi.nlm.nih.gov/articles/PMC6244459/,CHARLS baseline study analytic sample
2011-2012,urban,grandparents with grandchildren under age 16 in analytic sample,48.01,percent,China,https://pmc.ncbi.nlm.nih.gov/articles/PMC6244459/,CHARLS baseline study analytic sample
