population,measure,1920,1930,1940,source
all_dwellings,percent_with_electric_service,34.7,68.2,78.7,https://www.census.gov/about/history/stories/monthly/2025/september-2025.html
farm_dwellings,percent_with_electric_service,1.6,10.4,32.6,https://www.census.gov/about/history/stories/monthly/2025/september-2025.html
