year,population,coresiding_with_adult_children_percent,unit,scope,source_url,note
1982,age 65+,69.4,percent,China,https://www.demographic-research.org/volumes/vol41/48/41-48.pdf,Census-based figure cited by Xu Wang and Qi from Wang 2014
2010,age 65+,51.7,percent,China,https://www.demographic-research.org/volumes/vol41/48/41-48.pdf,Census-based figure cited by Xu Wang and Qi from Wang 2014
